Date,Account,Category,Note,Income/Expense,Amount
1/23/2025 21:27,CUB - online payment,Social Life,Badminton,Expense,200
1/23/2025 21:27,CUB - online payment,Other,From dad,Income,2000
1/21/2025 14:22,CUB - online payment,Food,Lunch with company,Expense,188
1/21/2025 11:47,CUB - online payment,Food,Snacks,Expense,37
1/21/2025 11:47,CUB - online payment,Other,From vicky,Income,200
1/19/2025 14:27,CUB - online payment,Food,Lunch + chocolate for preethi,Expense,171
1/18/2025 20:54,CUB - online payment,Food,Dinner,Expense,301.15
1/18/2025 17:10,CUB - online payment,Food,Snack with preethi,Expense,59
1/18/2025 13:51,CUB - online payment,Food,Lunch with company,Expense,148
1/18/2025 12:59,CUB - online payment,Other,To kumara,Expense,200
1/18/2025 12:59,CUB - online payment,Other,From dad,Income,1000
1/17/2025 18:31,CUB - online payment,Food,Eve snack,Expense,100
1/15/2025 21:17,CUB - online payment,Transportation,Bus to Bangalore,Expense,1365
1/15/2025 21:16,CUB - online payment,Other,From dad,Income,1500
1/15/2025 21:16,CUB - online payment,Food,Snacks,Expense,70
1/14/2025 16:58,CUB - online payment,Other,Kumara,Income,170
1/14/2025 16:56,CUB - online payment,Other,Siva + 100 cash,Income,70
1/14/2025 16:56,CUB - online payment,Other,Gundan + prasanna,Income,340
1/14/2025 16:55,CUB - online payment,Other,Dinesh and maddy + 100 cash,Income,240
1/14/2025 16:54,CUB - online payment,Other,From gowdham,Income,340
1/14/2025 16:54,CUB - online payment,Food,Lunch pongal,Expense,1530
1/13/2025 20:46,CUB - online payment,Food,Dinner,Expense,66
1/13/2025 19:10,CUB - online payment,Other,From dad,Income,1000
1/13/2025 17:47,CUB - online payment,Transportation,Rapido to pg,Expense,43
1/12/2025 22:44,CUB - online payment,Other,Recharge by gowdham,Expense,479
1/12/2025 13:25,CUB - online payment,Food,Pizza,Expense,301.75
1/12/2025 13:25,CUB - online payment,Other,From kumara,Income,200
1/11/2025 14:07,CUB - online payment,Food,Lunch with not preethi,Expense,135.5
1/10/2025 14:04,CUB - online payment,Food,Friday snacks with preethi gang,Expense,106
1/8/2025 13:46,CUB - online payment,Other,From gowdham,Income,260
1/8/2025 13:45,CUB - online payment,Food,Lunch with gowdham,Expense,535.3
1/8/2025 13:38,CUB - online payment,Household,Rent,Expense,4580
1/7/2025 13:51,CUB - online payment,Food,Coffee + biscuit,Expense,15
1/6/2025 21:30,CUB - online payment,Other,From barath and shakur,Income,440
1/6/2025 20:58,CUB - online payment,Food,Ketch up,Expense,20
1/6/2025 20:13,CUB - online payment,Food,Dinner with roommate,Expense,877.81
1/6/2025 14:22,CUB - online payment,Food,Bingo,Expense,10
1/6/2025 11:48,CUB - online payment,Transportation,Rapido to pg,Expense,42
1/5/2025 20:23,CUB - online payment,Food,McDonald's with company,Expense,211
1/5/2025 14:46,CUB - online payment,Other,Lended money returned to vishnu,Expense,40
1/5/2025 14:42,CUB - online payment,Other,Lended money returned to kumara,Expense,30
1/5/2025 14:42,CUB - online payment,Food,Jan 2nd with shakur and barath,Expense,354
1/5/2025 14:39,CUB - online payment,Other,To gobi 1st 1/4th,Expense,500
1/5/2025 14:37,CUB - online payment,Other,To abijith and to vicky lend money returned,Expense,500
1/5/2025 14:35,CUB - online payment,Transportation,Refund for bus ticket,Expense,60
1/5/2025 14:30,CUB - online payment,Food,Lunch with company,Expense,388
1/4/2025 22:11,CUB - online payment,Education,Arrear and reval fee,Expense,1400
1/4/2025 22:10,CUB - online payment,Salary,Salary,Income,8000
1/4/2025 13:53,CUB - online payment,Food,Lunch with company,Expense,106
1/4/2025 8:01,CUB - online payment,Other,To vicky,Expense,80
1/4/2025 7:58,CUB - online payment,Food,Sent to preethi,Expense,107
1/3/2025 22:15,CUB - online payment,Food,Dairy milk,Expense,10
1/3/2025 21:54,CUB - online payment,Other,From barath,Income,201
1/3/2025 21:12,CUB - online payment,Other,From gpay,Income,5
1/3/2025 21:11,CUB - online payment,Other,From shakur,Income,140
1/3/2025 14:31,CUB - online payment,Food,Lunch unlimited nv,Expense,300
1/3/2025 14:30,CUB - online payment,Other,From abi,Income,300
1/2/2025 20:33,CUB - online payment,Other,Tablet to gowdham,Expense,8
1/2/2025 20:32,CUB - online payment,Food,Dinner with barath,Expense,200
1/2/2025 14:16,CUB - online payment,Transportation,Train to vnr,Expense,725
1/1/2025 21:46,CUB - online payment,Food,Snacks,Expense,85
1/1/2025 21:45,CUB - online payment,Allowance,From dad,Income,1000
12/30/2024 14:10,CUB - online payment,Food,To barath,Expense,20
12/30/2024 13:56,CUB - online payment,Transportation,Pg to office,Expense,43
12/30/2024 13:36,CUB - online payment,Other,From kumara,Income,30
12/30/2024 12:43,CUB - online payment,Food,Horlicks + kolakattai,Expense,25
12/30/2024 12:38,CUB - online payment,Transportation,Bommasandra to pg,Expense,199
12/30/2024 12:37,CUB - online payment,Other,From Deepak,Income,250
12/30/2024 11:45,CUB - online payment,Food,Water,Expense,20
12/30/2024 11:45,CUB - online payment,Other,From abi,Income,20
12/30/2024 11:45,CUB - online payment,Transportation,Rapido + toll,Expense,286
12/30/2024 11:44,CUB - online payment,Other,From Deepak,Income,250
12/28/2024 13:42,CUB - online payment,Food,Coffee and thattai,Expense,14
12/27/2024 13:45,CUB - online payment,Food,Lunch with barath,Expense,115
12/27/2024 13:44,CUB - online payment,Other,From vicky,Income,80
12/27/2024 12:33,CUB - online payment,Other,From ganesan,Income,40
12/27/2024 12:33,CUB - online payment,Food,Coconut water with stu,Expense,50
12/25/2024 22:53,CUB - online payment,Food,Dinner with barath,Expense,504
12/25/2024 20:46,CUB - online payment,Transportation,Cab,Expense,306
